num,length,end,level
986,21,32197,REAL
987,33,32230,REAL
988,36,32266,REAL
989,75,32341,REAL
990,28,32369,REAL
991,28,32397,REAL
992,34,32431,REAL
993,55,32486,COBB
994,37,32523,COBB
995,53,32576,COBB
996,47,32623,COBB
997,61,32684,COBB
998,32,32716,COBB
999,78,32794,COBB
1000,91,32885,COBB
1001,29,32914,COBB
1002,27,32941,COBB
1003,10,32951,COBB
1004,23,32974,COBB
1005,40,33014,COBB
1006,78,33092,COBB
1007,24,33116,COBB
1008,45,33161,COBB
1009,35,33196,COBB
1010,23,33219,COBB
1011,32,33251,COBB
1012,16,33267,COBB
1013,26,33293,COBB
1014,31,33324,COBB
1015,27,33351,COBB
1016,44,33395,COBB
1017,27,33422,COBB
1018,36,33458,COBB
1019,16,33474,COBB
1020,13,33487,COBB
1021,19,33506,COBB
1022,43,33549,COBB
1023,25,33574,COBB
1024,14,33588,COBB
1025,29,33617,COBB
1026,27,33644,COBB
1027,38,33682,COBB
1028,27,33709,COBB
1029,20,33729,COBB
1030,19,33748,COBB
1031,8,33756,COBB
1032,11,33767,COBB
1033,34,33801,COBB
1034,21,33822,COBB
1035,111,33933,COBB
1036,108,34041,COBB
1037,17,34058,COBB
1038,23,34081,COBB
1039,17,34098,COBB
1040,48,34146,COBB
1041,69,34215,COBB
1042,46,34261,COBB
1043,21,34282,COBB
1044,21,34303,COBB
1045,29,34332,COBB
1046,24,34356,COBB
1047,20,34376,COBB
1048,26,34402,COBB
1049,59,34461,COBB
1050,23,34484,COBB
1051,36,34520,COBB
1052,16,34536,COBB
1053,43,34579,COBB
1054,11,34590,COBB
1055,10,34600,COBB
1056,10,34610,COBB
1057,7,34617,COBB
1058,22,34639,COBB
1059,10,34649,COBB
1060,33,34682,COBB
1061,38,34720,COBB
1062,35,34755,COBB
1063,11,34766,COBB
1064,44,34810,COBB
1065,34,34844,COBB
1066,23,34867,COBB
1067,27,34894,COBB
1068,65,34959,COBB
1069,17,34976,COBB
1070,10,34986,COBB
1071,13,34999,COBB
1072,19,35018,COBB
1073,18,35036,COBB
1074,20,35056,COBB
1075,58,35114,COBB
1076,17,35131,COBB
1077,34,35165,COBB
1078,30,35195,COBB
1079,57,35252,COBB
1080,17,35269,COBB
1081,24,35293,COBB
1082,22,35315,COBB
1083,27,35342,COBB
1084,15,35357,COBB
1085,91,35448,COBB
1086,35,35483,COBB
1087,29,35512,COBB
1088,21,35533,COBB
1089,19,35552,COBB
1090,13,35565,COBB
1091,18,35583,COBB
1092,15,35598,COBB
1093,26,35624,COBB
1094,13,35637,COBB
1095,36,35673,COBB
1096,15,35688,COBB
1097,11,35699,COBB
1098,8,35707,COBB
1099,8,35715,COBB
1100,7,35722,COBB
1101,7,35729,COBB
1102,7,35736,COBB
1103,7,35743,COBB
1104,5,35748,COBB
1105,11,35759,COBB
1106,10,35769,COBB
1107,6,35775,COBB
1108,7,35782,COBB
1109,9,35791,COBB
1110,32,35823,COBB
1111,17,35840,COBB
1112,11,35851,COBB
1113,11,35862,COBB
1114,14,35876,COBB
1115,54,35930,REAL
1116,37,35967,REAL
1117,70,36037,REAL
1118,25,36062,REAL
1119,24,36086,REAL
1120,22,36108,REAL
1121,11,36119,REAL
1122,45,36164,REAL
1123,39,36203,REAL
1124,20,36223,REAL
1125,11,36234,REAL
1126,19,36253,REAL
1127,34,36287,REAL
1128,16,36303,REAL
1129,13,36316,REAL
1130,19,36335,REAL
1131,34,36369,REAL
1132,75,36444,REAL
1133,11,36455,REAL
1134,21,36476,REAL
1135,41,36517,REAL
1136,123,36640,REAL
1137,34,36674,REAL
1138,42,36716,REAL
1139,74,36790,REAL
1140,38,36828,REAL
1141,31,36859,REAL
1142,53,36912,REAL
1143,21,36933,REAL
1144,29,36962,REAL
1145,25,36987,REAL
1146,45,37032,REAL
1147,58,37090,REAL
1148,24,37114,REAL
1149,11,37125,REAL
1150,12,37137,REAL
1151,112,37249,REAL
1152,41,37290,REAL
1153,57,37347,REAL
1154,106,37453,REAL
1155,9,37462,REAL
1156,164,37626,REAL
1157,62,37688,REAL
1158,89,37777,REAL
1159,39,37816,REAL
1160,27,37843,REAL
1161,29,37872,REAL
1162,29,37901,REAL
1163,43,37944,REAL
1164,20,37964,REAL
1165,16,37980,REAL
1166,18,37998,REAL
1167,24,38022,REAL
1168,18,38040,REAL
1169,13,38053,REAL
1170,7,38060,REAL
1171,26,38086,REAL
1172,23,38109,REAL
1173,123,38232,DL1
1174,24,38256,DL1
1175,23,38279,DL1
1176,13,38292,DL1
1177,21,38313,DL1
1178,35,38348,DL1
